# GENERATED by build/select_foods.py -- do not edit by hand.
# Family tags derived from each food's USDA description, so that search by
# family works for the bulk-imported foods too. Hand-written entries in
# aliases.txt take precedence over anything here.
# slug | (no alternative names) | tags
seaweedcanadiancultivatedemi||sea vegetable,seaweed
flaxseedoilcoldpressed||fat,oil,seed
parmesancheeselowsodium||cheese,dairy
heartsofpalm||meat,offal,organ meat
mozzarellacheeselowsodium||cheese,dairy
cornoilpeanutandolive||cereal,fat,grain,oil
turtlegreen||fish,seafood
lemonjuice||citrus,fruit
lemonpeel||citrus,fruit
grapefruitjuicepink||citrus,fruit
pearsbartlett||fruit
pearsredanjou||fruit
pearsbosc||fruit
pearsgreenanjou||fruit
abiyuch||fruit
rowal||fruit
applesfujiwithskin||fruit
baobabpowder||fruit
raspberriespureewithseeds||berry,fruit
porkfreshleghamrumphalf||meat,pork,red meat
porkfreshloincenterloinchops||meat,pork,red meat
porkfreshloincenterribchopso||meat,pork,red meat
porkfreshloinsirloinchopsorr||meat,pork,red meat
porkfreshloinsirloinchopsorr2||meat,pork,red meat
swisscheeselowsodium||cheese,dairy
jellyfishsalted||fish,seafood
froglegs||fish,seafood
jujubechinesefresh||fruit
limejuice||citrus,fruit
blueberriessweetened||berry,fruit
roseapples||fruit
sugarapplessweetsop||fruit
pearsasian||fruit
pineappletraditionalvarietie||fruit
pineappleextrasweetvariety||fruit
applesreddeliciouswithskin||fruit
applesgoldendeliciouswithski||fruit
applesgrannysmithwithskin||fruit
applesgalawithskin||fruit
kiwifruitzesprisungold||fruit
porkfreshlegham||meat,pork,red meat
porkfreshleghamshankhalf||meat,pork,red meat
porkfreshloinbladechopsorroa||meat,pork,red meat
porkfreshlointoploinchops||meat,pork,red meat
porkfreshshoulderarmpicnic||meat,pork,red meat
porkfreshshoulderbostonbuttb||meat,pork,red meat
porkfreshloincenterloinchops2||meat,pork,red meat
porkcuredhamcenterslicecount||meat,pork,red meat
porkfreshloincountrystylerib||meat,pork,red meat
porkfreshlointoploinroasts||meat,pork,red meat
porkcuredhamandwaterproductu||meat,pork,red meat
porkcuredhamwithnaturaljuice||meat,pork,red meat
alfalfaseedssprouted||seed
cowpeasyoungpodswithseeds||legume,pulse,seed
cressgarden||leafy green
lentilssprouted||legume,pulse
lettuceredleaf||leafy green
mountainyamhawaii||root
mustardspinachtendergreen||leafy green
newzealandspinach||leafy green
potatoflour||cereal,grain,nightshade
taroleaves||leafy green,root
taroshoots||root
chrysanthemumleaves||leafy green
cornsweetwhite||cereal,grain
mushroomsbrownitalianorcrimi||fungi,mushroom
squashzucchinibaby||cucurbit,gourd
tomatoessundried||nightshade
peppershotchilesundried||nightshade
peppershungarian||nightshade
wasabiroot||root
coconutmeatdrieddesiccatedcr||dairy,nut
coconutmeatdrieddesiccatedsw||nut
sisymbriumspseeds||nut,seed
sesamebuttertahinitypeofkern||nut,seed
beefribshortribs||beef,meat,red meat
beefshortlointbonesteak||beef,meat,red meat
beefribeyesmallendribs1012||beef,meat,red meat
beefshortloinporterhousestea||beef,meat,red meat
beefchuckunderbladecenterste||beef,meat,red meat
beefshouldertopbladesteak||beef,meat,red meat
beefbrisketflathalfbonelesss||beef,meat,red meat
beefbrisketflathalf||beef,meat,red meat
beefchuckeyeroastamericasbee||beef,meat,red meat
oatbran||cereal,grain
ricebrownparboiledunclebens||cereal,grain
ricewhitemediumgrainenriched||cereal,grain
ricewhiteshortgrainenriched||cereal,grain
ricewhiteglutinousunenriched||cereal,grain
ryeflourdark||cereal,grain
ryeflourmedium||cereal,grain
ryeflourlight||cereal,grain
triticaleflourwholegrain||cereal,grain
wheatflourwholegrain||cereal,grain
wheatflourwhiteallpurposeenr||cereal,grain
wheatflourwhitebreadenriched||cereal,grain
riceflourbrown||cereal,grain
pastaglutenfreecorn||cereal,grain
macaronivegetableenriched||grain
noodlesjapanesesoba||grain
noodlesjapanesesomen||grain
spaghettispinach||grain,leafy green
pastawholegrain51wholewheatr||cereal,grain
cornflourwholegrainblueharin||cereal,grain
pastaunenriched||grain
wheatflourwhiteallpurposeenr2||cereal,grain
spaghettiproteinfortifiedenr||grain
sorghumflourwholegrain||cereal,grain
wheatflourwholegrainsoftwhea||cereal,grain
cottagecheesewithvegetables||cheese,dairy
mangosweetened||fruit
